t_s,requests,p50_us,p95_us,p99_us,max_us
-0.9,4653,131.9,285.5,408.2,777.6
-0.8,8677,113.1,231.4,327.1,1772.4
-0.7,8238,117.7,246.9,355.9,1108.0
-0.6,8433,116.8,239.7,333.8,838.6
-0.5,9224,110.6,205.6,281.9,587.7
-0.4,9445,108.5,199.2,266.7,506.1
-0.3,9252,109.5,209.9,288.7,677.2
-0.2,9480,107.8,197.7,274.9,615.5
-0.1,9216,110.0,209.1,290.0,870.6
0.0,19256,105.9,198.4,271.5,559.9
0.1,9558,106.8,199.4,275.8,742.5
0.2,9509,106.6,204.3,282.3,479.1
0.3,9597,105.6,197.8,283.6,908.0
0.4,9613,104.3,204.8,294.6,604.3
0.5,9602,105.0,201.8,275.7,532.5
0.6,9392,104.4,217.9,306.9,635.3
0.7,9655,102.8,211.4,294.6,781.0
0.8,9610,102.2,217.1,314.7,611.7
0.9,10049,97.5,207.7,291.5,657.5
1.0,9984,99.7,205.8,276.5,629.2
1.1,9756,101.4,209.7,306.6,639.9
1.2,10009,95.8,219.1,305.9,834.3
1.3,9213,109.8,210.5,292.2,609.2
1.4,9495,106.5,204.7,289.7,722.0
1.5,9832,103.5,194.9,260.5,469.2
1.6,9507,106.6,199.6,277.7,712.9
1.7,9349,107.7,210.7,289.5,758.9
1.8,9642,104.3,203.9,282.6,765.6
1.9,9685,104.1,200.5,286.0,746.5
2.0,9304,110.1,203.9,281.5,558.8
2.1,8916,113.3,216.1,305.7,601.9
2.2,9416,108.5,202.3,277.3,586.6
2.3,9019,113.0,211.0,286.3,606.2
2.4,9295,109.2,207.3,278.9,786.4
2.5,9556,106.8,199.9,266.7,501.7
2.6,9478,106.1,205.3,291.0,703.7
2.7,9513,106.8,202.3,274.4,548.4
2.8,9603,107.1,195.5,263.2,766.6
2.9,8657,116.4,220.0,314.1,1238.0
3.0,8979,113.1,210.5,290.1,560.3
3.1,9183,109.8,213.6,298.4,676.4
3.2,9102,109.6,216.3,302.2,1523.4
3.3,9254,108.1,207.3,307.9,757.4
3.4,8909,113.0,219.3,312.3,759.0
3.5,8819,113.5,224.5,309.6,723.6
3.6,8807,114.2,220.6,313.5,817.1
3.7,8987,111.5,219.4,310.4,905.6
3.8,9179,108.4,222.3,308.2,609.5
3.9,9205,109.7,213.7,297.6,1253.3
4.0,9739,104.1,201.8,268.7,611.2
4.1,9512,104.5,216.4,303.5,658.9
4.2,9900,103.4,194.5,264.7,769.0
4.3,9627,103.1,210.9,295.4,619.9
4.4,9681,101.9,215.1,303.5,629.9
4.5,9735,97.6,224.1,321.4,641.5
4.6,9996,99.5,204.7,283.7,601.1
4.7,9630,100.5,218.6,315.0,737.7
4.8,9947,98.9,207.2,294.2,688.9
4.9,10150,98.1,199.8,271.5,695.4
5.0,9557,104.8,210.9,290.0,615.7
5.1,9208,107.6,224.8,311.3,708.6
5.2,10115,97.1,209.0,284.7,641.3
5.3,10155,97.6,203.2,275.5,527.0
5.4,10193,95.9,205.5,286.3,862.2
5.5,9681,101.8,212.4,295.7,1003.8
5.6,9206,109.6,212.9,303.3,592.0
5.7,8916,108.6,237.1,329.0,999.5
5.8,9240,105.6,227.2,317.7,612.5
5.9,9450,105.0,213.1,303.0,778.6
6.0,9451,102.1,225.2,312.5,686.9
6.1,10394,93.8,201.8,279.3,1161.2
6.2,9800,100.9,207.3,286.1,807.3
6.3,9652,104.3,204.9,286.9,912.5
6.4,9881,99.1,210.9,291.4,1009.0
6.5,9572,102.1,217.9,290.8,502.8
6.6,9625,100.5,224.1,321.0,709.1
6.7,9941,99.4,209.3,281.5,1354.5
6.8,9330,106.8,216.2,303.8,630.1
6.9,9352,105.3,216.2,304.3,1044.1
7.0,9236,105.5,229.5,331.4,599.9
7.1,9506,105.0,207.8,295.1,718.2
7.2,9784,100.9,206.4,294.8,648.0
7.3,9828,99.1,210.9,298.3,620.3
7.4,9740,101.7,209.5,292.1,524.3
7.5,9619,102.4,215.0,294.7,538.4
7.6,9473,106.5,207.3,287.6,681.5
7.7,9349,106.2,212.0,297.9,752.1
7.8,10118,96.7,204.5,290.8,560.8
7.9,9296,103.3,231.2,332.8,939.4
8.0,9389,104.2,221.7,326.3,627.1
8.1,9980,99.3,206.4,288.1,1988.9
8.2,10267,95.3,203.1,281.8,608.2
8.3,9401,104.1,223.1,304.2,568.0
8.4,9572,104.7,206.2,282.5,592.1
8.5,9463,106.5,212.1,287.4,629.8
8.6,9723,101.6,210.6,293.3,555.0
8.7,9349,106.4,215.4,309.5,686.4
8.8,9256,107.7,216.8,305.0,809.6
8.9,9021,109.2,226.3,332.1,982.3
9.0,8939,109.6,233.4,318.6,762.4
9.1,9184,106.9,230.4,324.5,896.4
9.2,9800,100.1,208.3,299.2,865.0
9.3,9344,104.4,222.4,311.4,810.6
9.4,9075,107.5,230.0,317.5,1046.3
9.5,8990,108.8,231.4,322.3,751.2
9.6,9263,105.6,224.7,313.5,624.4
9.7,9953,100.9,197.8,268.7,695.0
9.8,9924,97.9,215.3,296.1,576.0
9.9,9754,102.0,203.5,288.6,623.0
10.0,10036,96.8,209.1,284.3,717.2
10.1,9643,102.6,212.1,294.6,841.8
10.2,9776,101.4,208.5,286.2,748.3
10.3,9569,104.0,212.7,297.7,681.6
10.4,9537,103.3,217.9,305.0,1115.0
