t_s,requests,p50_us,p95_us,p99_us,max_us
-0.9,1694,433.2,995.2,1392.8,2243.4
-0.8,3059,367.2,850.2,1197.9,2343.0
-0.7,2955,367.3,930.4,1310.5,1717.8
-0.6,3358,322.7,815.1,1236.6,2220.0
-0.5,3566,301.7,766.9,1072.0,2104.9
-0.4,3600,320.0,734.2,984.6,1601.1
-0.3,3696,296.9,726.9,1028.3,1946.9
-0.2,3946,247.1,716.2,992.5,1550.4
-0.1,3932,164.8,753.2,1016.4,1441.5
0.0,8257,159.4,703.6,1010.5,1920.7
0.1,4660,134.7,598.8,820.7,1566.2
0.2,4591,131.5,670.3,933.9,1327.2
0.3,4798,129.7,626.6,924.0,1774.9
0.4,5017,124.8,605.4,858.7,1749.6
0.5,4729,129.9,665.0,991.8,2529.1
0.6,5016,124.9,633.9,931.1,2155.8
0.7,5172,123.9,624.6,884.3,1481.6
0.8,5393,120.3,605.9,883.0,1817.4
0.9,5583,118.7,579.3,873.2,1608.4
1.0,5738,119.8,554.9,801.7,1288.0
1.1,5545,119.1,608.5,986.7,3049.6
1.2,5695,121.4,571.3,962.3,1768.6
1.3,6054,117.1,551.2,828.1,1484.7
1.4,6047,122.1,527.6,789.2,1810.4
1.5,5857,125.7,567.4,907.5,1682.5
1.6,5839,123.7,576.4,1087.3,1836.2
1.7,6403,119.4,513.4,799.1,1273.1
1.8,6642,116.5,479.2,748.9,2118.6
1.9,6426,119.9,495.5,853.9,2217.0
2.0,6596,119.7,478.7,772.2,1414.6
2.1,6440,124.7,493.1,775.4,1506.7
2.2,7015,117.6,437.7,716.8,1342.4
2.3,7633,110.6,396.8,641.4,1175.0
2.4,7652,112.2,379.2,633.0,1645.1
2.5,7576,113.9,389.8,648.7,1397.8
2.6,7227,117.8,400.4,689.7,1415.4
2.7,8064,111.7,334.9,537.0,1062.4
2.8,8064,109.5,346.3,604.2,1697.2
2.9,8330,108.3,319.4,556.3,1705.3
3.0,8349,110.0,310.4,540.6,1281.0
3.1,8574,108.5,293.1,500.7,1147.1
