t_s,requests,p50_us,p95_us,p99_us,max_us
-0.9,1998,390.7,758.5,958.8,1274.7
-0.8,2898,395.5,842.8,1176.6,1942.9
-0.7,2861,405.8,886.7,1157.4,2038.4
-0.6,2977,387.9,833.2,1094.2,1479.2
-0.5,3427,345.8,705.7,952.7,1709.2
-0.4,3698,300.5,674.5,944.1,1720.3
-0.3,3744,280.5,703.2,989.0,1919.3
-0.2,3966,218.3,673.3,982.8,1573.8
-0.1,4121,183.6,655.1,957.0,1621.6
0.0,8379,156.5,655.8,914.2,1526.6
0.1,4060,147.7,688.3,981.5,1852.8
0.2,4591,137.7,610.9,817.2,1687.4
0.3,4400,139.3,664.9,900.6,1968.5
0.4,4667,135.7,628.1,852.8,1306.6
0.5,5163,128.6,564.9,775.4,1125.4
0.6,4987,132.9,584.2,849.5,1273.3
0.7,5081,130.5,597.6,857.6,1595.3
0.8,4849,132.3,659.5,1005.1,2433.7
0.9,5333,127.4,586.0,799.0,1294.5
1.0,5721,123.1,530.0,766.8,1442.6
1.1,5485,127.9,563.8,766.0,3297.0
1.2,5625,126.1,569.5,846.5,1291.4
1.3,5465,130.0,604.0,905.0,1866.1
1.4,5415,133.7,590.2,878.6,1693.7
1.5,5699,131.3,567.7,835.5,1419.6
1.6,5611,130.9,583.4,927.6,2405.4
1.7,5988,130.2,515.3,793.8,2009.5
1.8,5969,128.5,558.1,844.2,1644.7
1.9,6434,122.7,500.2,736.1,1401.0
2.0,6659,119.9,476.2,711.2,1428.7
2.1,6694,121.6,468.8,704.7,1064.3
2.2,6386,126.0,506.2,755.3,1382.9
2.3,6871,122.6,441.5,690.4,1702.0
2.4,6910,120.5,433.2,723.7,1505.0
2.5,7176,118.3,421.0,708.8,1381.6
2.6,7122,121.9,417.4,655.1,1330.8
2.7,7239,120.0,401.5,663.3,2210.3
2.8,7440,118.0,379.1,663.3,1328.0
2.9,7432,119.5,369.7,645.1,1406.0
3.0,7787,115.8,348.3,577.2,1545.0
3.1,7857,112.6,343.9,623.1,1412.1
3.2,8158,114.5,297.4,512.0,1081.0
3.3,7754,118.9,316.5,542.8,1345.9
3.4,7884,120.2,295.5,509.1,1422.0
3.5,8025,116.1,304.8,543.8,1447.6
3.6,7920,118.9,280.3,530.4,1718.1
3.7,8405,113.9,258.1,476.2,1330.0
3.8,8449,114.5,245.2,438.0,845.0
3.9,8579,111.9,250.3,433.9,897.4
4.0,8630,110.6,245.8,452.9,1315.3
4.1,8385,114.7,251.0,437.5,1108.4
4.2,8501,113.2,247.7,445.2,1052.4
4.3,8821,109.2,238.9,400.2,1023.8
4.4,8702,111.2,239.6,416.7,1213.1
4.5,8647,112.2,245.6,383.3,935.8
4.6,8421,115.6,247.6,407.0,976.8
4.7,8268,118.0,246.6,398.7,1269.8
4.8,8087,121.3,250.0,415.1,1262.5
4.9,8756,113.9,225.0,355.8,826.2
5.0,9593,104.5,202.9,329.0,745.4
5.1,9460,103.1,221.2,349.4,1020.0
5.2,9793,101.7,204.4,313.8,640.2
5.3,10020,99.1,198.1,304.7,691.7
5.4,9774,102.1,201.6,305.2,803.6
5.5,9675,100.9,214.7,326.1,775.0
5.6,9632,103.1,208.3,313.5,808.0
5.7,8696,115.1,228.4,334.8,771.4
5.8,8733,115.3,220.5,339.1,677.8
5.9,8861,114.2,219.0,315.9,805.2
6.0,8539,118.3,228.4,323.5,834.2
6.1,8858,114.9,213.5,312.7,779.3
6.2,8981,110.5,225.8,326.5,712.2
6.3,8989,108.3,238.2,347.6,868.6
6.4,9239,108.4,215.8,309.7,651.4
6.5,9119,109.9,219.7,303.7,799.3
6.6,8957,111.4,223.1,335.4,681.1
6.7,9134,108.9,220.4,319.8,809.2
6.8,8668,114.2,232.0,341.0,1130.2
6.9,8955,111.9,219.2,319.5,714.2
7.0,9432,104.4,218.7,315.4,737.5
7.1,9759,101.6,208.5,289.2,869.7
7.2,8857,111.9,226.7,323.4,886.3
7.3,8993,109.7,226.9,326.6,1201.0
7.4,9301,106.5,219.3,309.0,935.4
7.5,9461,104.4,215.6,297.3,570.5
7.6,9204,107.0,221.2,318.9,682.2
7.7,9452,105.0,214.0,305.7,746.7
7.8,9674,103.8,202.8,281.1,599.1
7.9,9822,102.2,199.9,275.0,672.6
8.0,8869,110.3,239.7,328.7,678.5
8.1,9557,102.6,219.4,299.1,1132.1
8.2,9924,97.9,214.3,295.8,625.9
8.3,9489,103.7,219.3,311.7,721.8
8.4,9498,101.5,225.4,316.3,910.8
8.5,9113,109.9,219.8,297.7,547.9
8.6,9341,103.7,230.5,329.9,679.3
8.7,9723,101.5,209.0,296.0,662.3
8.8,9431,104.7,215.1,302.7,678.8
8.9,9126,109.8,213.2,298.7,874.0
9.0,9545,104.3,209.2,290.8,984.8
9.1,9739,102.4,205.9,289.8,617.7
9.2,9353,105.9,216.1,315.6,1004.4
9.3,9094,108.0,226.3,313.9,1126.1
9.4,8404,117.3,246.4,354.6,853.8
9.5,9289,108.9,211.1,291.9,768.0
9.6,9482,104.6,215.8,302.1,839.3
9.7,9260,106.3,219.1,310.6,811.6
9.8,9782,101.7,205.9,289.0,661.6
9.9,9251,107.9,214.9,295.3,789.2
10.0,9695,103.3,206.5,279.3,668.1
10.1,9621,102.6,212.1,290.6,827.8
10.2,9186,107.6,222.9,317.0,1028.3
10.3,9541,103.8,213.3,299.9,1006.2
10.4,9519,105.2,209.5,299.9,563.4
10.5,9893,101.5,198.0,269.7,543.6
10.6,9334,107.9,209.9,304.8,740.7
10.7,9234,106.7,223.7,316.6,694.0
10.8,9632,103.1,210.6,298.5,779.8
10.9,9393,104.8,216.9,309.1,746.2
11.0,9796,100.7,211.8,306.4,487.0
11.1,9653,103.8,206.0,287.6,810.0
11.2,9610,103.1,214.0,299.1,706.4
11.3,9821,101.3,205.5,281.2,706.9
11.4,9416,105.4,213.3,303.7,556.7
11.5,8964,111.6,223.5,308.0,560.4
11.6,8780,113.6,231.4,328.0,767.7
11.7,9183,109.1,216.0,311.4,597.0
11.8,9646,102.6,214.5,306.7,610.1
11.9,9427,107.1,209.2,289.7,614.9
12.0,9450,104.8,215.4,304.5,851.5
12.1,9222,107.1,224.2,316.2,605.5
12.2,9375,107.0,212.1,295.8,566.9
12.3,9192,109.7,214.4,305.6,646.8
